genes	TCGA-55-8615-01A-11R-2403-07	TCGA-50-5051-01A-21R-1858-07	TCGA-NJ-A7XG-01A-12R-A39D-07	TCGA-91-6848-01A-11R-1949-07	TCGA-MP-A4T8-01A-11R-A24X-07	TCGA-55-6970-01A-11R-1949-07	TCGA-86-8359-01A-11R-2326-07	TCGA-64-1679-01A-21R-2066-07	TCGA-50-6595-01A-12R-1858-07	TCGA-99-8025-01A-11R-2241-07	TCGA-50-6594-01A-11R-1755-07	TCGA-64-1677-01A-01R-0946-07	TCGA-05-5420-01A-01R-1628-07	TCGA-75-5126-01A-01R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-99-7458-01A-11R-2039-07	TCGA-MP-A4TC-01A-11R-A24X-07	TCGA-05-4384-01A-01R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-95-A4VP-01A-21R-A262-07
ENSG00000004838	237.15899573688	385.359672520409	531.408189831775	506.430943616234	385.217855576031	479.689885762482	153.968103192498	468.495045870407	451.650005377907	310.251514376546	915.373087117942	492.866850692402	208.712210693416	298.650326965709	340.517016040386	329.791514021087	604.616770094558	246.419474714971	291.562089154489	505.967131891383
ENSG00000004848	105.935847878607	134.413245065813	103.141678654509	54.1180988277863	14.7089259451854	77.1699262369128	73.5252882107987	115.946816531321	3.34162757385443	25.3163326639606	12.0205241670161	74.6220896315418	62.1878885160994	45.3797573161341	46.1685554676866	24.566624724362	137.730005374026	378.632937038097	194.956691958	111.226100040374
ENSG00000004864	2241.94675006257	2135.96138941525	2911.79496733364	1448.85426162408	2649.88280775774	2357.10657297839	2546.75267455579	2278.10088141007	3729.17015150392	2739.99682323635	3116.05303170928	2006.12202853632	2010.1092922653	5879.32346103586	2243.67888032181	2962.49025445709	2206.76137653558	2237.87037625257	3904.68088584833	1969.39076860985
ENSG00000004866	2214.9346710979	2173.20204184868	1960.55592576126	1472.54995194819	2344.25365588116	1785.76502343773	1775.61403229883	2733.84241829571	1887.71030011419	2361.74790720222	1862.86265649762	1771.15817452148	1400.59185960523	2622.66090503632	2183.18373791927	2046.19219913343	1910.31547269687	1763.66315324958	2043.18742971279	1806.33093121671
ENSG00000004897	1536.72207386468	2556.17364861721	3773.72115445966	2410.0869413753	3553.09158287732	2564.29869813576	3026.50971735734	3226.25419271898	2642.63015406236	3314.92997502489	2320.68991524056	3088.72833974509	2883.98477052285	2979.57834651243	3233.88793383725	3784.64270184874	2737.28757627517	2571.7106728333	2128.01620881716	2297.35590942117
ENSG00000004948	22.3009676533495	11.5887643753838	2.91782786492066	5.62280001576272	68.2471519195035	23.1242038291746	30.0490705347625	15.3127917432208	15.9408808028588	3.5982775360961	66.3802597304185	111.540927432937	2.28077734606563	100.199917710098	7.54065931145955	20.9863410474759	67.3242075059186	15.5628234608265	9.46097152844925	31.1360139401165
ENSG00000004961	1642.04862933301	1595.23306332957	710.370078496706	665.848932266224	1304.88149665219	980.16226195383	574.587623546969	1108.13446388958	1357.08399336449	1607.82950169044	969.972387179993	1011.5668361484	1100.28839950058	987.534478811744	841.683133383572	1071.93610971434	1714.97484377202	1026.34530826694	1010.88541018805	1153.33629611391
ENSG00000004975	2359.69507953019	1753.44355311874	2755.75098771524	1529.32990387327	1239.51332782458	1890.90010519534	1755.4733275796	1910.27219338748	1376.95806302268	1297.01732199384	2516.36055570107	2318.99757392798	1581.57779830602	1941.25871981623	2459.99417173794	1595.60125079557	2222.48884321339	2384.66722039653	1864.60309887729	1666.31138291943
ENSG00000005001	1215.47736922846	1483.32174954047	1760.92859682122	290.763196579587	1389.25662716691	1571.09728529946	2844.67622797427	1562.8792389981	1791.82399288506	1845.10287420394	3468.37402721851	1353.19056733031	1228.99692858242	1676.50866675861	1638.0725988533	1389.99839509976	1171.03762380919	1016.06056099226	3280.5782553841	1639.07749233476
ENSG00000005007	5853.9101244344	5104.25733490371	4857.99221126439	3748.76317337718	5282.39794534944	5692.63699862457	5338.72834728105	5242.8836778444	5837.25114858721	5009.19763592376	7965.93780887581	5159.12760803542	9252.15589421485	7485.04358239658	4848.32922780109	6019.57733288922	4836.38060408886	9850.34527567351	4827.45334019439	4792.39723850954
